# filename: /home/lepecvd/lepecvd/11355/xray/2.0deg-2.0deg-rsm-3h10m_11355-E5_224.xrdml
# reflection: ('2', '2', '4')
# type: Area measurement
# x-axis: Omega_2Theta
# y-axis: Omega
# 
# Omega	2Theta	Phi  	Chi   	X    	Y    	Z    	q_para	q_perp	Intensity
# [deg]	[deg] 	[deg]	[deg] 	[mm] 	[mm] 	[mm] 	[nm-1]	[nm-1]	[counts/s]
6.1078	85.0726	0.46	0.10	-30.00	-20.00	7.373	5.21181	7.06177	0.0
6.1178	85.0926	0.46	0.10	-30.00	-20.00	7.373	5.21280	7.06311	2.0
6.1278	85.1126	0.46	0.10	-30.00	-20.00	7.373	5.21379	7.06445	2.0
6.1378	85.1326	0.46	0.10	-30.00	-20.00	7.373	5.21478	7.06580	0.0
6.1478	85.1526	0.46	0.10	-30.00	-20.00	7.373	5.21577	7.06714	0.0
6.1578	85.1726	0.46	0.10	-30.00	-20.00	7.373	5.21676	7.06848	0.0
6.1678	85.1926	0.46	0.10	-30.00	-20.00	7.373	5.21775	7.06982	2.0
6.1778	85.2126	0.46	0.10	-30.00	-20.00	7.373	5.21874	7.07117	2.0
6.1878	85.2326	0.46	0.10	-30.00	-20.00	7.373	5.21974	7.07251	0.0
6.1978	85.2526	0.46	0.10	-30.00	-20.00	7.373	5.22073	7.07385	2.0
6.2078	85.2726	0.46	0.10	-30.00	-20.00	7.373	5.22172	7.07519	0.0
6.2178	85.2926	0.46	0.10	-30.00	-20.00	7.373	5.22270	7.07653	4.0
6.2278	85.3126	0.46	0.10	-30.00	-20.00	7.373	5.22369	7.07787	0.0
6.2378	85.3326	0.46	0.10	-30.00	-20.00	7.373	5.22468	7.07921	4.0
6.2478	85.3526	0.46	0.10	-30.00	-20.00	7.373	5.22567	7.08055	2.0
6.2578	85.3726	0.46	0.10	-30.00	-20.00	7.373	5.22666	7.08189	4.0
6.2678	85.3926	0.46	0.10	-30.00	-20.00	7.373	5.22765	7.08323	2.0
6.2778	85.4126	0.46	0.10	-30.00	-20.00	7.373	5.22864	7.08457	0.0
6.2878	85.4326	0.46	0.10	-30.00	-20.00	7.373	5.22963	7.08591	0.0
6.2978	85.4526	0.46	0.10	-30.00	-20.00	7.373	5.23062	7.08725	0.0
6.3078	85.4726	0.46	0.10	-30.00	-20.00	7.373	5.23161	7.08859	0.0
6.3178	85.4926	0.46	0.10	-30.00	-20.00	7.373	5.23259	7.08993	0.0
6.3278	85.5126	0.46	0.10	-30.00	-20.00	7.373	5.23358	7.09127	6.0
6.3378	85.5326	0.46	0.10	-30.00	-20.00	7.373	5.23457	7.09261	0.0
6.3478	85.5526	0.46	0.10	-30.00	-20.00	7.373	5.23556	7.09395	0.0
6.3578	85.5726	0.46	0.10	-30.00	-20.00	7.373	5.23654	7.09528	0.0
6.3678	85.5926	0.46	0.10	-30.00	-20.00	7.373	5.23753	7.09662	2.0
6.3778	85.6126	0.46	0.10	-30.00	-20.00	7.373	5.23852	7.09796	0.0
6.3878	85.6326	0.46	0.10	-30.00	-20.00	7.373	5.23951	7.09930	2.0
6.3978	85.6526	0.46	0.10	-30.00	-20.00	7.373	5.24049	7.10063	2.0
6.4078	85.6726	0.46	0.10	-30.00	-20.00	7.373	5.24148	7.10197	0.0
6.4178	85.6926	0.46	0.10	-30.00	-20.00	7.373	5.24247	7.10331	2.0
6.4278	85.7126	0.46	0.10	-30.00	-20.00	7.373	5.24345	7.10464	4.0
6.4378	85.7326	0.46	0.10	-30.00	-20.00	7.373	5.24444	7.10598	0.0
6.4478	85.7526	0.46	0.10	-30.00	-20.00	7.373	5.24543	7.10732	0.0
6.4578	85.7726	0.46	0.10	-30.00	-20.00	7.373	5.24641	7.10865	2.0
6.4678	85.7926	0.46	0.10	-30.00	-20.00	7.373	5.24740	7.10999	0.0
6.4778	85.8126	0.46	0.10	-30.00	-20.00	7.373	5.24838	7.11132	4.0
6.4878	85.8326	0.46	0.10	-30.00	-20.00	7.373	5.24937	7.11266	2.0
6.4978	85.8526	0.46	0.10	-30.00	-20.00	7.373	5.25035	7.11399	0.0
6.5078	85.8726	0.46	0.10	-30.00	-20.00	7.373	5.25134	7.11533	0.0
6.5178	85.8926	0.46	0.10	-30.00	-20.00	7.373	5.25232	7.11666	0.0
6.5278	85.9126	0.46	0.10	-30.00	-20.00	7.373	5.25331	7.11800	0.0
6.5378	85.9326	0.46	0.10	-30.00	-20.00	7.373	5.25429	7.11933	2.0
6.5478	85.9526	0.46	0.10	-30.00	-20.00	7.373	5.25528	7.12067	2.0
6.5578	85.9726	0.46	0.10	-30.00	-20.00	7.373	5.25626	7.12200	8.0
6.5678	85.9926	0.46	0.10	-30.00	-20.00	7.373	5.25725	7.12333	0.0
6.5778	86.0126	0.46	0.10	-30.00	-20.00	7.373	5.25823	7.12467	0.0
6.5878	86.0326	0.46	0.10	-30.00	-20.00	7.373	5.25921	7.12600	0.0
6.5978	86.0526	0.46	0.10	-30.00	-20.00	7.373	5.26020	7.12733	2.0
6.6078	86.0726	0.46	0.10	-30.00	-20.00	7.373	5.26118	7.12867	0.0
6.6178	86.0926	0.46	0.10	-30.00	-20.00	7.373	5.26216	7.13000	4.0
6.6278	86.1126	0.46	0.10	-30.00	-20.00	7.373	5.26315	7.13133	0.0
6.6378	86.1326	0.46	0.10	-30.00	-20.00	7.373	5.26413	7.13266	0.0
6.6478	86.1526	0.46	0.10	-30.00	-20.00	7.373	5.26511	7.13399	0.0
6.6578	86.1726	0.46	0.10	-30.00	-20.00	7.373	5.26610	7.13533	0.0
6.6678	86.1926	0.46	0.10	-30.00	-20.00	7.373	5.26708	7.13666	0.0
6.6778	86.2126	0.46	0.10	-30.00	-20.00	7.373	5.26806	7.13799	2.0
6.6878	86.2326	0.46	0.10	-30.00	-20.00	7.373	5.26904	7.13932	2.0
6.6978	86.2526	0.46	0.10	-30.00	-20.00	7.373	5.27003	7.14065	0.0
6.7078	86.2726	0.46	0.10	-30.00	-20.00	7.373	5.27101	7.14198	4.0
6.7178	86.2926	0.46	0.10	-30.00	-20.00	7.373	5.27199	7.14331	0.0
6.7278	86.3126	0.46	0.10	-30.00	-20.00	7.373	5.27297	7.14464	4.0
6.7378	86.3326	0.46	0.10	-30.00	-20.00	7.373	5.27395	7.14597	0.0
6.7478	86.3526	0.46	0.10	-30.00	-20.00	7.373	5.27493	7.14730	0.0
6.7578	86.3726	0.46	0.10	-30.00	-20.00	7.373	5.27591	7.14863	2.0
6.7678	86.3926	0.46	0.10	-30.00	-20.00	7.373	5.27690	7.14996	4.0
6.7778	86.4126	0.46	0.10	-30.00	-20.00	7.373	5.27788	7.15129	2.0
6.7878	86.4326	0.46	0.10	-30.00	-20.00	7.373	5.27886	7.15262	0.0
6.7978	86.4526	0.46	0.10	-30.00	-20.00	7.373	5.27984	7.15394	4.0
6.8078	86.4726	0.46	0.10	-30.00	-20.00	7.373	5.28082	7.15527	6.0
6.8178	86.4926	0.46	0.10	-30.00	-20.00	7.373	5.28180	7.15660	2.0
6.8278	86.5126	0.46	0.10	-30.00	-20.00	7.373	5.28278	7.15793	0.0
6.8378	86.5326	0.46	0.10	-30.00	-20.00	7.373	5.28376	7.15926	2.0
6.8478	86.5526	0.46	0.10	-30.00	-20.00	7.373	5.28474	7.16058	2.0
6.8578	86.5726	0.46	0.10	-30.00	-20.00	7.373	5.28572	7.16191	2.0
6.8678	86.5926	0.46	0.10	-30.00	-20.00	7.373	5.28670	7.16324	0.0
6.8778	86.6126	0.46	0.10	-30.00	-20.00	7.373	5.28768	7.16456	0.0
6.8878	86.6326	0.46	0.10	-30.00	-20.00	7.373	5.28865	7.16589	4.0
6.8978	86.6526	0.46	0.10	-30.00	-20.00	7.373	5.28963	7.16722	2.0
6.9078	86.6726	0.46	0.10	-30.00	-20.00	7.373	5.29061	7.16854	0.0
6.9178	86.6926	0.46	0.10	-30.00	-20.00	7.373	5.29159	7.16987	2.0
6.9278	86.7126	0.46	0.10	-30.00	-20.00	7.373	5.29257	7.17120	0.0
6.9378	86.7326	0.46	0.10	-30.00	-20.00	7.373	5.29355	7.17252	2.0
6.9478	86.7526	0.46	0.10	-30.00	-20.00	7.373	5.29453	7.17385	2.0
6.9578	86.7726	0.46	0.10	-30.00	-20.00	7.373	5.29550	7.17517	0.0
6.9678	86.7926	0.46	0.10	-30.00	-20.00	7.373	5.29648	7.17650	0.0
6.9778	86.8126	0.46	0.10	-30.00	-20.00	7.373	5.29746	7.17782	2.0
6.9878	86.8326	0.46	0.10	-30.00	-20.00	7.373	5.29844	7.17914	2.0
6.9978	86.8526	0.46	0.10	-30.00	-20.00	7.373	5.29941	7.18047	2.0
7.0078	86.8726	0.46	0.10	-30.00	-20.00	7.373	5.30039	7.18179	6.0
7.0178	86.8926	0.46	0.10	-30.00	-20.00	7.373	5.30137	7.18312	0.0
7.0278	86.9126	0.46	0.10	-30.00	-20.00	7.373	5.30234	7.18444	0.0
7.0378	86.9326	0.46	0.10	-30.00	-20.00	7.373	5.30332	7.18576	2.0
7.0478	86.9526	0.46	0.10	-30.00	-20.00	7.373	5.30430	7.18709	0.0
7.0578	86.9726	0.46	0.10	-30.00	-20.00	7.373	5.30527	7.18841	4.0
7.0678	86.9926	0.46	0.10	-30.00	-20.00	7.373	5.30625	7.18973	2.0
7.0778	87.0126	0.46	0.10	-30.00	-20.00	7.373	5.30723	7.19105	0.0
7.0878	87.0326	0.46	0.10	-30.00	-20.00	7.373	5.30820	7.19238	0.0
7.0978	87.0526	0.46	0.10	-30.00	-20.00	7.373	5.30918	7.19370	2.0
7.1078	87.0726	0.46	0.10	-30.00	-20.00	7.373	5.31015	7.19502	2.0
7.1178	87.0926	0.46	0.10	-30.00	-20.00	7.373	5.31113	7.19634	2.0
7.1278	87.1126	0.46	0.10	-30.00	-20.00	7.373	5.31210	7.19766	0.0
7.1378	87.1326	0.46	0.10	-30.00	-20.00	7.373	5.31308	7.19898	2.0
7.1478	87.1526	0.46	0.10	-30.00	-20.00	7.373	5.31405	7.20030	4.0
7.1578	87.1726	0.46	0.10	-30.00	-20.00	7.373	5.31503	7.20163	4.0
7.1678	87.1926	0.46	0.10	-30.00	-20.00	7.373	5.31600	7.20295	0.0
7.1778	87.2126	0.46	0.10	-30.00	-20.00	7.373	5.31698	7.20427	2.0
7.1878	87.2326	0.46	0.10	-30.00	-20.00	7.373	5.31795	7.20559	0.0
7.1978	87.2526	0.46	0.10	-30.00	-20.00	7.373	5.31892	7.20691	0.0
7.2078	87.2726	0.46	0.10	-30.00	-20.00	7.373	5.31990	7.20823	0.0
