# filename: /home/lepecvd/lepecvd/11358/xray/2.0deg-2.0deg-rsm-3h10m_11358-E4_224.xrdml
# reflection: ('2', '2', '4')
# type: Area measurement
# x-axis: Omega_2Theta
# y-axis: Omega
# 
# Omega	2Theta	Phi  	Chi   	X    	Y    	Z    	q_para	q_perp	Intensity
# [deg]	[deg] 	[deg]	[deg] 	[mm] 	[mm] 	[mm] 	[nm-1]	[nm-1]	[counts/s]
6.1544	85.0724	-0.24	0.13	0.00	-23.01	7.396	5.20604	7.06600	0.0
6.1644	85.0924	-0.24	0.13	0.00	-23.01	7.396	5.20703	7.06734	2.0
6.1744	85.1124	-0.24	0.13	0.00	-23.01	7.396	5.20802	7.06869	6.0
6.1844	85.1324	-0.24	0.13	0.00	-23.01	7.396	5.20901	7.07003	2.0
6.1944	85.1524	-0.24	0.13	0.00	-23.01	7.396	5.21000	7.07138	2.0
6.2044	85.1724	-0.24	0.13	0.00	-23.01	7.396	5.21099	7.07272	2.0
6.2144	85.1924	-0.24	0.13	0.00	-23.01	7.396	5.21198	7.07406	0.0
6.2244	85.2124	-0.24	0.13	0.00	-23.01	7.396	5.21297	7.07540	0.0
6.2344	85.2324	-0.24	0.13	0.00	-23.01	7.396	5.21396	7.07675	2.0
6.2444	85.2524	-0.24	0.13	0.00	-23.01	7.396	5.21495	7.07809	0.0
6.2544	85.2724	-0.24	0.13	0.00	-23.01	7.396	5.21594	7.07943	0.0
6.2644	85.2924	-0.24	0.13	0.00	-23.01	7.396	5.21693	7.08077	0.0
6.2744	85.3124	-0.24	0.13	0.00	-23.01	7.396	5.21791	7.08211	0.0
6.2844	85.3324	-0.24	0.13	0.00	-23.01	7.396	5.21890	7.08346	0.0
6.2944	85.3524	-0.24	0.13	0.00	-23.01	7.396	5.21989	7.08480	0.0
6.3044	85.3724	-0.24	0.13	0.00	-23.01	7.396	5.22088	7.08614	0.0
6.3144	85.3924	-0.24	0.13	0.00	-23.01	7.396	5.22187	7.08748	0.0
6.3244	85.4124	-0.24	0.13	0.00	-23.01	7.396	5.22285	7.08882	0.0
6.3344	85.4324	-0.24	0.13	0.00	-23.01	7.396	5.22384	7.09016	0.0
6.3444	85.4524	-0.24	0.13	0.00	-23.01	7.396	5.22483	7.09150	0.0
6.3544	85.4724	-0.24	0.13	0.00	-23.01	7.396	5.22582	7.09284	0.0
6.3644	85.4924	-0.24	0.13	0.00	-23.01	7.396	5.22680	7.09418	2.0
6.3744	85.5124	-0.24	0.13	0.00	-23.01	7.396	5.22779	7.09552	2.0
6.3844	85.5324	-0.24	0.13	0.00	-23.01	7.396	5.22878	7.09686	0.0
6.3944	85.5524	-0.24	0.13	0.00	-23.01	7.396	5.22976	7.09820	0.0
6.4044	85.5724	-0.24	0.13	0.00	-23.01	7.396	5.23075	7.09954	2.0
6.4144	85.5924	-0.24	0.13	0.00	-23.01	7.396	5.23174	7.10088	2.0
6.4244	85.6124	-0.24	0.13	0.00	-23.01	7.396	5.23272	7.10221	0.0
6.4344	85.6324	-0.24	0.13	0.00	-23.01	7.396	5.23371	7.10355	0.0
6.4444	85.6524	-0.24	0.13	0.00	-23.01	7.396	5.23469	7.10489	2.0
6.4544	85.6724	-0.24	0.13	0.00	-23.01	7.396	5.23568	7.10623	2.0
6.4644	85.6924	-0.24	0.13	0.00	-23.01	7.396	5.23667	7.10757	2.0
6.4744	85.7124	-0.24	0.13	0.00	-23.01	7.396	5.23765	7.10890	2.0
6.4844	85.7324	-0.24	0.13	0.00	-23.01	7.396	5.23864	7.11024	4.0
6.4944	85.7524	-0.24	0.13	0.00	-23.01	7.396	5.23962	7.11158	2.0
6.5044	85.7724	-0.24	0.13	0.00	-23.01	7.396	5.24061	7.11291	2.0
6.5144	85.7924	-0.24	0.13	0.00	-23.01	7.396	5.24159	7.11425	2.0
6.5244	85.8124	-0.24	0.13	0.00	-23.01	7.396	5.24257	7.11559	0.0
6.5344	85.8324	-0.24	0.13	0.00	-23.01	7.396	5.24356	7.11692	4.0
6.5444	85.8524	-0.24	0.13	0.00	-23.01	7.396	5.24454	7.11826	0.0
6.5544	85.8724	-0.24	0.13	0.00	-23.01	7.396	5.24553	7.11959	0.0
6.5644	85.8924	-0.24	0.13	0.00	-23.01	7.396	5.24651	7.12093	2.0
6.5744	85.9124	-0.24	0.13	0.00	-23.01	7.396	5.24750	7.12226	0.0
6.5844	85.9324	-0.24	0.13	0.00	-23.01	7.396	5.24848	7.12360	2.0
6.5944	85.9524	-0.24	0.13	0.00	-23.01	7.396	5.24946	7.12493	0.0
6.6044	85.9724	-0.24	0.13	0.00	-23.01	7.396	5.25045	7.12627	0.0
6.6144	85.9924	-0.24	0.13	0.00	-23.01	7.396	5.25143	7.12760	0.0
6.6244	86.0124	-0.24	0.13	0.00	-23.01	7.396	5.25241	7.12894	2.0
6.6344	86.0324	-0.24	0.13	0.00	-23.01	7.396	5.25339	7.13027	0.0
6.6444	86.0524	-0.24	0.13	0.00	-23.01	7.396	5.25438	7.13160	0.0
6.6544	86.0724	-0.24	0.13	0.00	-23.01	7.396	5.25536	7.13294	2.0
6.6644	86.0924	-0.24	0.13	0.00	-23.01	7.396	5.25634	7.13427	0.0
6.6744	86.1124	-0.24	0.13	0.00	-23.01	7.396	5.25732	7.13560	4.0
6.6844	86.1324	-0.24	0.13	0.00	-23.01	7.396	5.25831	7.13694	2.0
6.6944	86.1524	-0.24	0.13	0.00	-23.01	7.396	5.25929	7.13827	2.0
6.7044	86.1724	-0.24	0.13	0.00	-23.01	7.396	5.26027	7.13960	0.0
6.7144	86.1924	-0.24	0.13	0.00	-23.01	7.396	5.26125	7.14093	0.0
6.7244	86.2124	-0.24	0.13	0.00	-23.01	7.396	5.26223	7.14227	0.0
6.7344	86.2324	-0.24	0.13	0.00	-23.01	7.396	5.26321	7.14360	0.0
6.7444	86.2524	-0.24	0.13	0.00	-23.01	7.396	5.26419	7.14493	2.0
6.7544	86.2724	-0.24	0.13	0.00	-23.01	7.396	5.26517	7.14626	2.0
6.7644	86.2924	-0.24	0.13	0.00	-23.01	7.396	5.26616	7.14759	0.0
6.7744	86.3124	-0.24	0.13	0.00	-23.01	7.396	5.26714	7.14892	0.0
6.7844	86.3324	-0.24	0.13	0.00	-23.01	7.396	5.26812	7.15025	2.0
6.7944	86.3524	-0.24	0.13	0.00	-23.01	7.396	5.26910	7.15158	2.0
6.8044	86.3724	-0.24	0.13	0.00	-23.01	7.396	5.27008	7.15291	2.0
6.8144	86.3924	-0.24	0.13	0.00	-23.01	7.396	5.27106	7.15424	0.0
6.8244	86.4124	-0.24	0.13	0.00	-23.01	7.396	5.27204	7.15557	4.0
6.8344	86.4324	-0.24	0.13	0.00	-23.01	7.396	5.27302	7.15690	0.0
6.8444	86.4524	-0.24	0.13	0.00	-23.01	7.396	5.27400	7.15823	0.0
6.8544	86.4724	-0.24	0.13	0.00	-23.01	7.396	5.27497	7.15956	2.0
6.8644	86.4924	-0.24	0.13	0.00	-23.01	7.396	5.27595	7.16089	0.0
