# filename: /home/lepecvd/lepecvd/11354/xray/2.0deg-2.0deg-rsm-3h10m_11354-E4_224.xrdml
# reflection: ('2', '2', '4')
# type: Area measurement
# x-axis: Omega_2Theta
# y-axis: Omega
# 
# Omega	2Theta	Phi  	Chi   	X    	Y    	Z    	q_para	q_perp	Intensity
# [deg]	[deg] 	[deg]	[deg] 	[mm] 	[mm] 	[mm] 	[nm-1]	[nm-1]	[counts/s]
6.7951	85.0742	-0.10	0.10	0.00	-22.75	7.333	5.12690	7.12381	2.0
6.8051	85.0942	-0.10	0.10	0.00	-22.75	7.333	5.12788	7.12517	0.0
6.8151	85.1142	-0.10	0.10	0.00	-22.75	7.333	5.12885	7.12652	4.0
6.8251	85.1342	-0.10	0.10	0.00	-22.75	7.333	5.12983	7.12788	0.0
6.8351	85.1542	-0.10	0.10	0.00	-22.75	7.333	5.13080	7.12923	0.0
6.8451	85.1742	-0.10	0.10	0.00	-22.75	7.333	5.13178	7.13059	0.0
6.8551	85.1942	-0.10	0.10	0.00	-22.75	7.333	5.13275	7.13194	2.0
6.8651	85.2142	-0.10	0.10	0.00	-22.75	7.333	5.13373	7.13330	0.0
6.8751	85.2342	-0.10	0.10	0.00	-22.75	7.333	5.13470	7.13465	0.0
6.8851	85.2542	-0.10	0.10	0.00	-22.75	7.333	5.13567	7.13600	2.0
6.8951	85.2742	-0.10	0.10	0.00	-22.75	7.333	5.13665	7.13735	2.0
6.9051	85.2942	-0.10	0.10	0.00	-22.75	7.333	5.13762	7.13871	2.0
6.9151	85.3142	-0.10	0.10	0.00	-22.75	7.333	5.13859	7.14006	0.0
6.9251	85.3342	-0.10	0.10	0.00	-22.75	7.333	5.13957	7.14141	0.0
6.9351	85.3542	-0.10	0.10	0.00	-22.75	7.333	5.14054	7.14276	0.0
6.9451	85.3742	-0.10	0.10	0.00	-22.75	7.333	5.14151	7.14412	2.0
6.9551	85.3942	-0.10	0.10	0.00	-22.75	7.333	5.14249	7.14547	4.0
6.9651	85.4142	-0.10	0.10	0.00	-22.75	7.333	5.14346	7.14682	2.0
6.9751	85.4342	-0.10	0.10	0.00	-22.75	7.333	5.14443	7.14817	0.0
6.9851	85.4542	-0.10	0.10	0.00	-22.75	7.333	5.14540	7.14952	2.0
6.9951	85.4742	-0.10	0.10	0.00	-22.75	7.333	5.14638	7.15087	2.0
7.0051	85.4942	-0.10	0.10	0.00	-22.75	7.333	5.14735	7.15222	0.0
7.0151	85.5142	-0.10	0.10	0.00	-22.75	7.333	5.14832	7.15357	0.0
7.0251	85.5342	-0.10	0.10	0.00	-22.75	7.333	5.14929	7.15492	0.0
7.0351	85.5542	-0.10	0.10	0.00	-22.75	7.333	5.15026	7.15627	0.0
7.0451	85.5742	-0.10	0.10	0.00	-22.75	7.333	5.15124	7.15762	2.0
7.0551	85.5942	-0.10	0.10	0.00	-22.75	7.333	5.15221	7.15897	2.0
7.0651	85.6142	-0.10	0.10	0.00	-22.75	7.333	5.15318	7.16032	2.0
7.0751	85.6342	-0.10	0.10	0.00	-22.75	7.333	5.15415	7.16167	2.0
7.0851	85.6542	-0.10	0.10	0.00	-22.75	7.333	5.15512	7.16302	0.0
7.0951	85.6742	-0.10	0.10	0.00	-22.75	7.333	5.15609	7.16437	0.0
7.1051	85.6942	-0.10	0.10	0.00	-22.75	7.333	5.15706	7.16572	0.0
7.1151	85.7142	-0.10	0.10	0.00	-22.75	7.333	5.15803	7.16707	2.0
7.1251	85.7342	-0.10	0.10	0.00	-22.75	7.333	5.15900	7.16841	2.0
7.1351	85.7542	-0.10	0.10	0.00	-22.75	7.333	5.15997	7.16976	2.0
7.1451	85.7742	-0.10	0.10	0.00	-22.75	7.333	5.16094	7.17111	0.0
7.1551	85.7942	-0.10	0.10	0.00	-22.75	7.333	5.16191	7.17246	0.0
7.1651	85.8142	-0.10	0.10	0.00	-22.75	7.333	5.16288	7.17380	0.0
7.1751	85.8342	-0.10	0.10	0.00	-22.75	7.333	5.16385	7.17515	2.0
7.1851	85.8542	-0.10	0.10	0.00	-22.75	7.333	5.16482	7.17650	10.0
7.1951	85.8742	-0.10	0.10	0.00	-22.75	7.333	5.16579	7.17784	2.0
7.2051	85.8942	-0.10	0.10	0.00	-22.75	7.333	5.16676	7.17919	4.0
7.2151	85.9142	-0.10	0.10	0.00	-22.75	7.333	5.16773	7.18054	2.0
7.2251	85.9342	-0.10	0.10	0.00	-22.75	7.333	5.16869	7.18188	4.0
7.2351	85.9542	-0.10	0.10	0.00	-22.75	7.333	5.16966	7.18323	8.0
7.2451	85.9742	-0.10	0.10	0.00	-22.75	7.333	5.17063	7.18457	2.0
7.2551	85.9942	-0.10	0.10	0.00	-22.75	7.333	5.17160	7.18592	2.0
7.2651	86.0142	-0.10	0.10	0.00	-22.75	7.333	5.17257	7.18726	0.0
7.2751	86.0342	-0.10	0.10	0.00	-22.75	7.333	5.17353	7.18861	4.0
7.2851	86.0542	-0.10	0.10	0.00	-22.75	7.333	5.17450	7.18995	0.0
7.2951	86.0742	-0.10	0.10	0.00	-22.75	7.333	5.17547	7.19130	2.0
7.3051	86.0942	-0.10	0.10	0.00	-22.75	7.333	5.17644	7.19264	2.0
7.3151	86.1142	-0.10	0.10	0.00	-22.75	7.333	5.17740	7.19399	4.0
7.3251	86.1342	-0.10	0.10	0.00	-22.75	7.333	5.17837	7.19533	2.0
7.3351	86.1542	-0.10	0.10	0.00	-22.75	7.333	5.17934	7.19667	0.0
7.3451	86.1742	-0.10	0.10	0.00	-22.75	7.333	5.18030	7.19802	0.0
7.3551	86.1942	-0.10	0.10	0.00	-22.75	7.333	5.18127	7.19936	0.0
7.3651	86.2142	-0.10	0.10	0.00	-22.75	7.333	5.18224	7.20070	2.0
7.3751	86.2342	-0.10	0.10	0.00	-22.75	7.333	5.18320	7.20204	2.0
7.3851	86.2542	-0.10	0.10	0.00	-22.75	7.333	5.18417	7.20339	2.0
7.3951	86.2742	-0.10	0.10	0.00	-22.75	7.333	5.18514	7.20473	2.0
7.4051	86.2942	-0.10	0.10	0.00	-22.75	7.333	5.18610	7.20607	0.0
7.4151	86.3142	-0.10	0.10	0.00	-22.75	7.333	5.18707	7.20741	4.0
7.4251	86.3342	-0.10	0.10	0.00	-22.75	7.333	5.18803	7.20875	0.0
7.4351	86.3542	-0.10	0.10	0.00	-22.75	7.333	5.18900	7.21010	0.0
7.4451	86.3742	-0.10	0.10	0.00	-22.75	7.333	5.18996	7.21144	4.0
7.4551	86.3942	-0.10	0.10	0.00	-22.75	7.333	5.19093	7.21278	4.0
7.4651	86.4142	-0.10	0.10	0.00	-22.75	7.333	5.19189	7.21412	2.0
7.4751	86.4342	-0.10	0.10	0.00	-22.75	7.333	5.19286	7.21546	4.0
7.4851	86.4542	-0.10	0.10	0.00	-22.75	7.333	5.19382	7.21680	10.0
7.4951	86.4742	-0.10	0.10	0.00	-22.75	7.333	5.19479	7.21814	6.0
7.5051	86.4942	-0.10	0.10	0.00	-22.75	7.333	5.19575	7.21948	2.0
7.5151	86.5142	-0.10	0.10	0.00	-22.75	7.333	5.19671	7.22082	0.0
7.5251	86.5342	-0.10	0.10	0.00	-22.75	7.333	5.19768	7.22216	0.0
7.5351	86.5542	-0.10	0.10	0.00	-22.75	7.333	5.19864	7.22350	2.0
7.5451	86.5742	-0.10	0.10	0.00	-22.75	7.333	5.19961	7.22483	2.0
7.5551	86.5942	-0.10	0.10	0.00	-22.75	7.333	5.20057	7.22617	2.0
7.5651	86.6142	-0.10	0.10	0.00	-22.75	7.333	5.20153	7.22751	0.0
7.5751	86.6342	-0.10	0.10	0.00	-22.75	7.333	5.20249	7.22885	0.0
7.5851	86.6542	-0.10	0.10	0.00	-22.75	7.333	5.20346	7.23019	8.0
7.5951	86.6742	-0.10	0.10	0.00	-22.75	7.333	5.20442	7.23153	0.0
7.6051	86.6942	-0.10	0.10	0.00	-22.75	7.333	5.20538	7.23286	0.0
7.6151	86.7142	-0.10	0.10	0.00	-22.75	7.333	5.20635	7.23420	4.0
7.6251	86.7342	-0.10	0.10	0.00	-22.75	7.333	5.20731	7.23554	2.0
7.6351	86.7542	-0.10	0.10	0.00	-22.75	7.333	5.20827	7.23687	0.0
7.6451	86.7742	-0.10	0.10	0.00	-22.75	7.333	5.20923	7.23821	8.0
7.6551	86.7942	-0.10	0.10	0.00	-22.75	7.333	5.21019	7.23955	2.0
7.6651	86.8142	-0.10	0.10	0.00	-22.75	7.333	5.21116	7.24088	0.0
7.6751	86.8342	-0.10	0.10	0.00	-22.75	7.333	5.21212	7.24222	2.0
7.6851	86.8542	-0.10	0.10	0.00	-22.75	7.333	5.21308	7.24355	0.0
7.6951	86.8742	-0.10	0.10	0.00	-22.75	7.333	5.21404	7.24489	2.0
7.7051	86.8942	-0.10	0.10	0.00	-22.75	7.333	5.21500	7.24623	0.0
7.7151	86.9142	-0.10	0.10	0.00	-22.75	7.333	5.21596	7.24756	0.0
7.7251	86.9342	-0.10	0.10	0.00	-22.75	7.333	5.21692	7.24890	0.0
7.7351	86.9542	-0.10	0.10	0.00	-22.75	7.333	5.21788	7.25023	2.0
7.7451	86.9742	-0.10	0.10	0.00	-22.75	7.333	5.21884	7.25156	2.0
7.7551	86.9942	-0.10	0.10	0.00	-22.75	7.333	5.21980	7.25290	0.0
7.7651	87.0142	-0.10	0.10	0.00	-22.75	7.333	5.22076	7.25423	2.0
7.7751	87.0342	-0.10	0.10	0.00	-22.75	7.333	5.22172	7.25557	0.0
7.7851	87.0542	-0.10	0.10	0.00	-22.75	7.333	5.22268	7.25690	0.0
7.7951	87.0742	-0.10	0.10	0.00	-22.75	7.333	5.22364	7.25823	4.0
7.8051	87.0942	-0.10	0.10	0.00	-22.75	7.333	5.22460	7.25957	0.0
7.8151	87.1142	-0.10	0.10	0.00	-22.75	7.333	5.22556	7.26090	0.0
7.8251	87.1342	-0.10	0.10	0.00	-22.75	7.333	5.22652	7.26223	2.0
7.8351	87.1542	-0.10	0.10	0.00	-22.75	7.333	5.22748	7.26356	0.0
7.8451	87.1742	-0.10	0.10	0.00	-22.75	7.333	5.22844	7.26490	0.0
7.8551	87.1942	-0.10	0.10	0.00	-22.75	7.333	5.22940	7.26623	0.0
7.8651	87.2142	-0.10	0.10	0.00	-22.75	7.333	5.23035	7.26756	2.0
